Feature,Importance
model_encoded,0.7670733036671554
engine_encoded,0.195192822112418
milage_binned,0.015734719573368736
model_year,0.007260267785026079
transmission_encoded,0.0029820561884356897
HP,0.0029675023651791364
brand_encoded,0.0023199495483624748
int_col_Black,0.0012879960606068796
ext_col_Black,0.0006818944803297491
ext_col_Blue,0.0006349901881933123
ext_col_White,0.00041041291256507963
accident_None reported,0.00038525339372947085
fuel_type_Gasoline,0.0003381675607466708
ext_col_Gray,0.0003343509824667941
int_col_Gray,0.00028176242627357147
clean_title,0.0002710067774888103
int_col_Beige,0.0002567885755008364
int_col_White,0.0002327241320969773
int_col_Brown,0.00018658425907499892
ext_col_Silver,0.00017437458241465606
int_col_–,0.00012836083598113344
ext_col_Red,0.0001251592980420567
fuel_type_–,0.00010176750348841499
fuel_type_Hybrid,8.21286641145213e-05
int_col_Red,7.282945738501717e-05
int_col_Jet Black,6.367526460320172e-05
fuel_type_E85 Flex Fuel,5.58676810623638e-05
fuel_type_Electric,5.463492693724714e-05
ext_col_Alpine White,5.328789181070335e-05
ext_col_Green,4.940121913561776e-05
ext_col_Brown,3.293671155576576e-05
accident_Unknown,3.160863416022091e-05
ext_col_Oxford White,2.8710518684791337e-05
ext_col_Orange,1.7742859235893255e-05
ext_col_Midnight Black Metallic,1.335679088095989e-05
ext_col_Santorini Black Metallic,1.2089685619726094e-05
ext_col_Beige,9.31208956683799e-06
int_col_Ebony,8.322815400430293e-06
ext_col_Gold,8.127570680290611e-06
int_col_Rioja Red,6.329191584788443e-06
ext_col_Daytona Gray Pearl Effect,5.940848147047155e-06
int_col_Orange,5.567963843115034e-06
ext_col_Firecracker Red Clearcoat,5.545875434796189e-06
ext_col_Yellow,5.058611325654056e-06
ext_col_Bright White Clearcoat,2.789654670602095e-06
ext_col_Ebony Twilight Metallic,2.3475105743805143e-06
int_col_Blue,1.8417818241056005e-06
ext_col_Alfa White,1.1656948694488894e-06
int_col_Diesel Gray / Black,1.0669877337976073e-06
ext_col_Snow White Pearl,1.0434876933670657e-06
int_col_Silver,6.838221418924438e-07
int_col_Graphite,6.452986209515688e-07
